"time","tps"
"2025-04-24 17:13:04 UTC","127"
"2025-04-24 17:13:07 UTC","125"
"2025-04-24 17:13:10 UTC","123"
"2025-04-24 17:13:13 UTC","131"
"2025-04-24 17:13:16 UTC","126"
"2025-04-24 17:13:19 UTC","126"
"2025-04-24 17:13:22 UTC","130"
"2025-04-24 17:13:25 UTC","127"
"2025-04-24 17:13:28 UTC","131"
"2025-04-24 17:13:31 UTC","139"
"2025-04-24 17:13:34 UTC","132"
"2025-04-24 17:13:37 UTC","134"
"2025-04-24 17:13:40 UTC","130"
"2025-04-24 17:13:43 UTC","65"
"2025-04-24 17:13:46 UTC","118"
"2025-04-24 17:13:49 UTC","112"
"2025-04-24 17:13:52 UTC","111"
"2025-04-24 17:13:55 UTC","103"
"2025-04-24 17:13:58 UTC","110"
"2025-04-24 17:14:01 UTC","120"
"2025-04-24 17:14:04 UTC","120"
"2025-04-24 17:14:07 UTC","124"
"2025-04-24 17:14:10 UTC","120"
"2025-04-24 17:14:13 UTC","116"
"2025-04-24 17:14:16 UTC","125"
"2025-04-24 17:14:19 UTC","130"
"2025-04-24 17:14:22 UTC","138"
"2025-04-24 17:14:25 UTC","136"
"2025-04-24 17:14:28 UTC","133"
"2025-04-24 17:14:31 UTC","136"
"2025-04-24 17:14:34 UTC","131"
"2025-04-24 17:14:37 UTC","75"
"2025-04-24 17:14:40 UTC","84"
"2025-04-24 17:14:44 UTC","90"
"2025-04-24 17:14:47 UTC","73"
"2025-04-24 17:14:50 UTC","66"
"2025-04-24 17:14:53 UTC","51"
"2025-04-24 17:14:56 UTC","63"
"2025-04-24 17:14:59 UTC","88"
"2025-04-24 17:15:02 UTC","117"
"2025-04-24 17:15:05 UTC","109"
"2025-04-24 17:15:08 UTC","125"
"2025-04-24 17:15:11 UTC","126"
"2025-04-24 17:15:14 UTC","121"
"2025-04-24 17:15:17 UTC","123"
"2025-04-24 17:15:20 UTC","125"
"2025-04-24 17:15:23 UTC","123"
"2025-04-24 17:15:26 UTC","127"
"2025-04-24 17:15:29 UTC","125"
"2025-04-24 17:15:32 UTC","132"
"2025-04-24 17:15:35 UTC","129"
"2025-04-24 17:15:38 UTC","105"
"2025-04-24 17:15:41 UTC","118"
"2025-04-24 17:15:44 UTC","61"
"2025-04-24 17:15:47 UTC","89"
"2025-04-24 17:15:50 UTC","95"
"2025-04-24 17:15:53 UTC","63"
"2025-04-24 17:15:56 UTC","92"
"2025-04-24 17:15:59 UTC","113"
"2025-04-24 17:16:02 UTC","119"
"2025-04-24 17:16:05 UTC","120"
"2025-04-24 17:16:08 UTC","130"
"2025-04-24 17:16:11 UTC","133"
"2025-04-24 17:16:14 UTC","128"
"2025-04-24 17:16:17 UTC","125"
"2025-04-24 17:16:20 UTC","129"
"2025-04-24 17:16:23 UTC","128"
"2025-04-24 17:16:26 UTC","131"
"2025-04-24 17:16:29 UTC","133"
"2025-04-24 17:16:32 UTC","134"
"2025-04-24 17:16:35 UTC","127"
"2025-04-24 17:16:38 UTC","78"
"2025-04-24 17:16:41 UTC","102"
