"time,tps"
"14:37:02,135"
"14:37:05,153"
"14:37:08,151"
"14:37:11,142"
"14:37:14,128"
"14:37:17,105"
"14:37:20,120"
"14:37:23,119"
"14:37:26,119"
"14:37:29,123"
"14:37:32,122"
"14:37:35,134"
"14:37:38,134"
"14:37:41,130"
"14:37:44,135"
"14:37:47,127"
"14:37:50,136"
"14:37:53,145"
"14:37:56,130"
"14:37:59,139"
"14:38:02,125"
"14:38:05,121"
"14:38:09,126"
"14:38:12,119"
"14:38:15,124"
"14:38:18,122"
"14:38:21,126"
"14:38:24,130"
"14:38:27,135"
"14:38:30,140"
"14:38:33,108"
"14:38:36,137"
"14:38:39,139"
"14:38:42,131"
"14:38:45,96"
"14:38:48,106"
"14:38:51,129"
"14:38:54,128"
"14:38:57,121"
"14:39:00,109"
"14:39:03,135"
"14:39:06,152"
"14:39:09,140"
"14:39:12,153"
"14:39:15,166"
"14:39:18,166"
"14:39:21,175"
"14:39:24,145"
"14:39:27,161"
"14:39:30,169"
"14:39:33,187"
"14:39:36,155"
"14:39:39,148"
"14:39:43,158"
"14:39:46,144"
"14:39:49,138"
"14:39:52,141"
"14:39:55,111"
"14:39:58,130"
"14:40:01,129"
"14:40:04,126"
"14:40:07,112"
"14:40:10,122"
"14:40:13,125"
"14:40:16,138"
"14:40:19,144"
"14:40:22,145"
"14:40:25,86"
"14:40:28,127"
"14:40:31,114"
"14:40:34,95"
"14:40:37,101"
"14:40:40,99"
"14:40:43,121"
"14:40:46,158"
"14:40:49,127"
"14:40:52,164"
"14:40:55,101"
"14:40:58,112"
"14:41:01,116"
"14:41:04,123"
"14:41:07,140"
"14:41:10,195"
"14:41:13,201"
"14:41:16,192"
"14:41:19,138"
"14:41:22,189"
"14:41:25,154"
"14:41:28,182"
"14:41:31,199"
"14:41:34,185"
"14:41:37,128"
"14:41:40,137"
"14:41:43,111"
"14:41:46,134"
"14:41:49,137"
"14:41:52,125"
"14:41:55,215"
"14:41:58,184"
"14:42:02,187"
"14:42:05,173"
"14:42:08,159"
"14:42:11,114"
"14:42:14,126"
"14:42:17,155"
"14:42:20,197"
"14:42:23,196"
"14:42:26,87"
"14:42:29,158"
"14:42:32,177"
"14:42:35,185"
"14:42:38,197"
"14:42:41,147"
"14:42:44,112"
"14:42:47,137"
"14:42:50,152"
"14:42:53,199"
"14:42:56,185"
"14:42:59,213"
"14:43:02,179"
"14:43:05,204"
"14:43:08,209"
"14:43:11,174"
"14:43:14,145"
"14:43:17,135"
"14:43:20,159"
"14:43:23,196"
"14:43:26,185"
"14:43:29,178"
"14:43:32,182"
"14:43:35,133"
"14:43:38,170"
"14:43:41,221"
"14:43:44,219"
"14:43:48,214"
"14:43:51,223"
"14:43:54,200"
"14:43:57,225"
"14:44:00,177"
"14:44:03,178"
