"time","lat"
"2025/04/22 14:22:04 UTC","626"
"2025/04/22 14:22:10 UTC","172"
"2025/04/22 14:22:16 UTC","136"
"2025/04/22 14:22:22 UTC","130"
"2025/04/22 14:22:28 UTC","174"
"2025/04/22 14:22:34 UTC","545"
"2025/04/22 14:22:40 UTC","395"
"2025/04/22 14:22:46 UTC","242"
"2025/04/22 14:22:52 UTC","212"
"2025/04/22 14:22:58 UTC","143"
"2025/04/22 14:23:04 UTC","193"
"2025/04/22 14:23:10 UTC","1575"
"2025/04/22 14:23:16 UTC","144"
"2025/04/22 14:23:22 UTC","154"
"2025/04/22 14:23:28 UTC","145"
"2025/04/22 14:23:34 UTC","1193"
"2025/04/22 14:23:40 UTC","227"
"2025/04/22 14:23:46 UTC","157"
"2025/04/22 14:23:52 UTC","238"
"2025/04/22 14:23:58 UTC","310"
"2025/04/22 14:24:04 UTC","4399"
"2025/04/22 14:24:10 UTC","3799"
"2025/04/22 14:24:16 UTC","201"
"2025/04/22 14:24:22 UTC","118"
"2025/04/22 14:24:28 UTC","151"
"2025/04/22 14:24:34 UTC","124"
"2025/04/22 14:24:40 UTC","133"
"2025/04/22 14:24:46 UTC","1157"
"2025/04/22 14:24:52 UTC","220"
"2025/04/22 14:24:58 UTC","132"
"2025/04/22 14:25:04 UTC","145"
"2025/04/22 14:25:10 UTC","465"
"2025/04/22 14:25:16 UTC","346"
"2025/04/22 14:25:22 UTC","142"
"2025/04/22 14:25:28 UTC","320"
"2025/04/22 14:25:34 UTC","346"
"2025/04/22 14:25:40 UTC","275"
"2025/04/22 14:25:46 UTC","122"
"2025/04/22 14:25:52 UTC","107"
"2025/04/22 14:25:58 UTC","129"
"2025/04/22 14:26:04 UTC","434"
"2025/04/22 14:26:10 UTC","424"
"2025/04/22 14:26:16 UTC","178"
"2025/04/22 14:26:22 UTC","192"
"2025/04/22 14:26:28 UTC","357"
"2025/04/22 14:26:34 UTC","195"
"2025/04/22 14:26:40 UTC","565"
"2025/04/22 14:26:46 UTC","1547"
"2025/04/22 14:26:52 UTC","139"
"2025/04/22 14:26:58 UTC","143"
"2025/04/22 14:27:04 UTC","164"
"2025/04/22 14:27:10 UTC","380"
"2025/04/22 14:27:16 UTC","213"
"2025/04/22 14:27:22 UTC","200"
"2025/04/22 14:27:28 UTC","201"
"2025/04/22 14:27:34 UTC","230"
"2025/04/22 14:27:40 UTC","873"
"2025/04/22 14:27:46 UTC","668"
"2025/04/22 14:27:52 UTC","132"
"2025/04/22 14:27:58 UTC","137"
"2025/04/22 14:28:04 UTC","160"
"2025/04/22 14:28:10 UTC","131"
"2025/04/22 14:28:16 UTC","820"
"2025/04/22 14:28:22 UTC","290"
"2025/04/22 14:28:28 UTC","272"
"2025/04/22 14:28:34 UTC","265"
"2025/04/22 14:28:40 UTC","363"
"2025/04/22 14:28:46 UTC","313"
"2025/04/22 14:28:52 UTC","168"
"2025/04/22 14:28:58 UTC","3927"
"2025/04/22 14:29:04 UTC","820"
"2025/04/22 14:29:10 UTC","123"
"2025/04/22 14:29:16 UTC","216"
"2025/04/22 14:29:22 UTC","310"
"2025/04/22 14:29:28 UTC","403"
"2025/04/22 14:29:34 UTC","131"
"2025/04/22 14:29:40 UTC","202"
"2025/04/22 14:29:46 UTC","167"
"2025/04/22 14:29:52 UTC","392"
"2025/04/22 14:29:58 UTC","751"
"2025/04/22 14:30:04 UTC","532"
"2025/04/22 14:30:10 UTC","184"
"2025/04/22 14:30:16 UTC","646"
"2025/04/22 14:30:22 UTC","427"
"2025/04/22 14:30:28 UTC","255"
"2025/04/22 14:30:34 UTC","116"
"2025/04/22 14:30:40 UTC","155"
"2025/04/22 14:30:46 UTC","126"
"2025/04/22 14:30:52 UTC","132"
"2025/04/22 14:30:58 UTC","317"
"2025/04/22 14:31:04 UTC","176"
"2025/04/22 14:31:10 UTC","152"
"2025/04/22 14:31:16 UTC","304"
"2025/04/22 14:31:22 UTC","334"
"2025/04/22 14:31:28 UTC","353"
"2025/04/22 14:31:34 UTC","264"
"2025/04/22 14:31:40 UTC","108"
"2025/04/22 14:31:46 UTC","188"
"2025/04/22 14:31:52 UTC","122"
"2025/04/22 14:31:58 UTC","192"
"2025/04/22 14:32:04 UTC","220"
"2025/04/22 14:32:10 UTC","134"
"2025/04/22 14:32:16 UTC","158"
"2025/04/22 14:32:22 UTC","159"
"2025/04/22 14:32:28 UTC","354"
"2025/04/22 14:32:34 UTC","183"
"2025/04/22 14:32:40 UTC","157"
"2025/04/22 14:32:46 UTC","114"
"2025/04/22 14:32:52 UTC","85"
"2025/04/22 14:32:58 UTC","116"
"2025/04/22 14:33:04 UTC","121"
"2025/04/22 14:33:10 UTC","586"
"2025/04/22 14:33:16 UTC","213"
"2025/04/22 14:33:22 UTC","141"
"2025/04/22 14:33:28 UTC","195"
"2025/04/22 14:33:34 UTC","171"
"2025/04/22 14:33:40 UTC","257"
"2025/04/22 14:33:46 UTC","472"
"2025/04/22 14:33:52 UTC","125"
"2025/04/22 14:33:58 UTC","104"
"2025/04/22 14:34:04 UTC","800"
"2025/04/22 14:34:10 UTC","453"
"2025/04/22 14:34:16 UTC","2059"
"2025/04/22 14:34:22 UTC","135"
"2025/04/22 14:34:28 UTC","121"
"2025/04/22 14:34:34 UTC","1373"
"2025/04/22 14:34:40 UTC","1448"
"2025/04/22 14:34:46 UTC","156"
"2025/04/22 14:34:52 UTC","134"
"2025/04/22 14:34:58 UTC","233"
"2025/04/22 14:35:04 UTC","1077"
"2025/04/22 14:35:10 UTC","695"
"2025/04/22 14:35:16 UTC","490"
"2025/04/22 14:35:22 UTC","476"
"2025/04/22 14:35:28 UTC","445"
"2025/04/22 14:35:34 UTC","158"
"2025/04/22 14:35:40 UTC","140"
"2025/04/22 14:35:46 UTC","170"
"2025/04/22 14:35:52 UTC","219"
"2025/04/22 14:35:58 UTC","816"
"2025/04/22 14:36:04 UTC","617"
"2025/04/22 14:36:10 UTC","565"
"2025/04/22 14:36:16 UTC","532"
"2025/04/22 14:36:22 UTC","685"
"2025/04/22 14:36:28 UTC","4848"
"2025/04/22 14:36:34 UTC","1477"
"2025/04/22 14:36:40 UTC","3645"
"2025/04/22 14:36:46 UTC","1875"
"2025/04/22 14:36:53 UTC","1120"
"2025/04/22 14:36:59 UTC","256"
"2025/04/22 14:37:05 UTC","273"
"2025/04/22 14:37:11 UTC","5410"
"2025/04/22 14:37:17 UTC","2032"
"2025/04/22 14:37:23 UTC","1542"
"2025/04/22 14:37:29 UTC","1610"
"2025/04/22 14:37:35 UTC","2505"
"2025/04/22 14:37:41 UTC","2156"
"2025/04/22 14:37:47 UTC","1814"
"2025/04/22 14:37:53 UTC","2353"
"2025/04/22 14:37:59 UTC","3803"
"2025/04/22 14:38:05 UTC","4038"
"2025/04/22 14:38:11 UTC","3894"
"2025/04/22 14:38:17 UTC","3212"
"2025/04/22 14:38:23 UTC","3273"
"2025/04/22 14:38:29 UTC","3776"
"2025/04/22 14:38:35 UTC","7205"
"2025/04/22 14:38:41 UTC","4320"
"2025/04/22 14:38:47 UTC","723"
"2025/04/22 14:38:53 UTC","3569"
"2025/04/22 14:38:59 UTC","4621"
"2025/04/22 14:39:05 UTC","4199"
"2025/04/22 14:39:11 UTC","1209"
"2025/04/22 14:39:17 UTC","1029"
"2025/04/22 14:39:23 UTC","899"
"2025/04/22 14:39:29 UTC","2243"
"2025/04/22 14:39:35 UTC","2850"
"2025/04/22 14:39:41 UTC","2698"
"2025/04/22 14:39:47 UTC","3047"
"2025/04/22 14:39:53 UTC","5008"
"2025/04/22 14:39:59 UTC","7351"
"2025/04/22 14:40:05 UTC","3782"
"2025/04/22 14:40:11 UTC","2938"
"2025/04/22 14:40:17 UTC","5162"
"2025/04/22 14:40:23 UTC","3855"
"2025/04/22 14:40:35 UTC","8729"
"2025/04/22 14:40:41 UTC","717"
"2025/04/22 14:40:47 UTC","3092"
"2025/04/22 14:40:53 UTC","1694"
"2025/04/22 14:40:59 UTC","5970"
"2025/04/22 14:41:05 UTC","3480"
"2025/04/22 14:41:11 UTC","981"
"2025/04/22 14:41:17 UTC","414"
"2025/04/22 14:41:23 UTC","2196"
"2025/04/22 14:41:29 UTC","1692"
"2025/04/22 14:41:35 UTC","1263"
"2025/04/22 14:41:41 UTC","3347"
"2025/04/22 14:41:47 UTC","3171"
"2025/04/22 14:41:53 UTC","1295"
"2025/04/22 14:41:59 UTC","661"
"2025/04/22 14:42:05 UTC","1115"
"2025/04/22 14:42:11 UTC","2474"
"2025/04/22 14:42:17 UTC","2021"
"2025/04/22 14:42:23 UTC","1068"
"2025/04/22 14:42:29 UTC","2058"
"2025/04/22 14:42:35 UTC","316"
"2025/04/22 14:42:41 UTC","472"
"2025/04/22 14:42:47 UTC","3070"
"2025/04/22 14:42:53 UTC","837"
"2025/04/22 14:42:59 UTC","345"
"2025/04/22 14:43:05 UTC","711"
"2025/04/22 14:43:11 UTC","317"
"2025/04/22 14:43:17 UTC","1845"
"2025/04/22 14:43:23 UTC","1503"
"2025/04/22 14:43:29 UTC","1038"
"2025/04/22 14:43:35 UTC","874"
"2025/04/22 14:43:41 UTC","1028"
"2025/04/22 14:43:47 UTC","569"
"2025/04/22 14:43:53 UTC","608"
"2025/04/22 14:43:59 UTC","701"
"2025/04/22 14:44:05 UTC","858"
"2025/04/22 14:44:11 UTC","6707"
"2025/04/22 14:44:17 UTC","2194"
"2025/04/22 14:44:23 UTC","468"
"2025/04/22 14:44:29 UTC","555"
"2025/04/22 14:44:35 UTC","585"
"2025/04/22 14:44:41 UTC","808"
"2025/04/22 14:44:47 UTC","282"
"2025/04/22 14:44:53 UTC","456"
"2025/04/22 14:44:59 UTC","549"
"2025/04/22 14:45:05 UTC","551"
"2025/04/22 14:45:11 UTC","2191"
"2025/04/22 14:45:17 UTC","651"
"2025/04/22 14:45:23 UTC","661"
"2025/04/22 14:45:29 UTC","468"
"2025/04/22 14:45:35 UTC","509"
"2025/04/22 14:45:41 UTC","1011"
