"time","tps"
"2025-04-23 00:14:14 UTC","64"
"2025-04-23 00:14:17 UTC","68"
"2025-04-23 00:14:20 UTC","65"
"2025-04-23 00:14:23 UTC","68"
"2025-04-23 00:14:26 UTC","67"
"2025-04-23 00:14:29 UTC","65"
"2025-04-23 00:14:32 UTC","65"
"2025-04-23 00:14:35 UTC","69"
"2025-04-23 00:14:38 UTC","66"
"2025-04-23 00:14:41 UTC","66"
"2025-04-23 00:14:44 UTC","72"
"2025-04-23 00:14:47 UTC","68"
"2025-04-23 00:14:50 UTC","66"
"2025-04-23 00:14:53 UTC","63"
"2025-04-23 00:14:56 UTC","70"
"2025-04-23 00:14:59 UTC","69"
"2025-04-23 00:15:02 UTC","64"
"2025-04-23 00:15:05 UTC","65"
"2025-04-23 00:15:08 UTC","70"
"2025-04-23 00:15:11 UTC","68"
"2025-04-23 00:15:14 UTC","61"
"2025-04-23 00:15:17 UTC","70"
"2025-04-23 00:15:20 UTC","67"
"2025-04-23 00:15:23 UTC","57"
"2025-04-23 00:15:26 UTC","64"
"2025-04-23 00:15:29 UTC","58"
"2025-04-23 00:15:32 UTC","62"
"2025-04-23 00:15:35 UTC","66"
"2025-04-23 00:15:38 UTC","64"
"2025-04-23 00:15:41 UTC","63"
"2025-04-23 00:15:44 UTC","57"
"2025-04-23 00:15:47 UTC","62"
"2025-04-23 00:15:50 UTC","59"
"2025-04-23 00:15:53 UTC","56"
"2025-04-23 00:15:56 UTC","64"
"2025-04-23 00:15:59 UTC","70"
"2025-04-23 00:16:02 UTC","59"
"2025-04-23 00:16:05 UTC","65"
"2025-04-23 00:16:08 UTC","68"
"2025-04-23 00:16:11 UTC","64"
"2025-04-23 00:16:14 UTC","63"
"2025-04-23 00:16:17 UTC","58"
"2025-04-23 00:16:20 UTC","65"
"2025-04-23 00:16:23 UTC","70"
"2025-04-23 00:16:26 UTC","68"
"2025-04-23 00:16:29 UTC","63"
"2025-04-23 00:16:32 UTC","66"
"2025-04-23 00:16:35 UTC","67"
"2025-04-23 00:16:38 UTC","64"
"2025-04-23 00:16:41 UTC","65"
"2025-04-23 00:16:44 UTC","62"
"2025-04-23 00:16:47 UTC","65"
"2025-04-23 00:16:50 UTC","62"
"2025-04-23 00:16:53 UTC","70"
"2025-04-23 00:16:56 UTC","70"
"2025-04-23 00:16:59 UTC","58"
"2025-04-23 00:17:02 UTC","57"
"2025-04-23 00:17:05 UTC","59"
"2025-04-23 00:17:08 UTC","64"
"2025-04-23 00:17:11 UTC","66"
"2025-04-23 00:17:14 UTC","59"
"2025-04-23 00:17:17 UTC","62"
"2025-04-23 00:17:20 UTC","66"
"2025-04-23 00:17:23 UTC","61"
"2025-04-23 00:17:26 UTC","60"
"2025-04-23 00:17:29 UTC","58"
"2025-04-23 00:17:32 UTC","65"
"2025-04-23 00:17:35 UTC","65"
